#{"t_start": 1786829237.1354809, "env_id": "None"}
r,l,t
-65.4,1,7.520549
-35.7,1,7.525692
-47.1,1,7.531172
-10.0,3,7.541416
-30.9,1,7.546859
-48.9,1,7.552343
-10.0,1,7.557781
-33.6,1,7.563139
-51.3,1,7.568479
-10.0,1,7.573596
-48.9,1,7.578716
-10.0,1,7.58446
-44.4,2,7.592327
-10.0,1,7.597863
-10.0,1,7.603599
-10.0,1,7.60894
-10.0,2,7.617042
-47.1,2,7.624701
-10.0,1,7.629983
-10.0,1,7.635283
-51.3,1,7.640299
-33.6,1,7.645317
-10.0,3,7.656236
-34.2,1,7.661373
-44.4,1,7.667275
-39.9,2,7.674801
-34.2,1,7.680801
-41.1,1,7.686229
-10.0,1,7.691285
-49.2,1,7.696898
-39.6,3,7.706994
-10.0,2,7.715084
-29.7,1,7.720226
-48.9,1,7.725246
-47.4,1,7.730757
-48.9,1,7.735801
-46.8,1,7.740771
-10.0,1,7.746565
-10.0,1,7.751694
-10.0,1,7.756665
-10.0,1,7.762583
-10.0,1,7.767639
-10.0,1,7.772448
-10.0,1,7.777517
-10.0,1,7.78299
-29.7,1,7.788016
-45.0,2,7.796125
-10.0,1,7.801086
-28.8,1,7.805961
-61.5,3,7.815789
-42.3,1,7.820722
-10.0,2,7.828339
-43.5,1,7.833292
-25.2,1,7.838139
-46.8,1,7.843295
-44.1,2,7.850494
-71.7,4,7.862543
-10.0,1,7.867445
-54.0,1,7.8726
-43.2,2,7.879861
-10.0,1,7.884705
-10.0,3,7.894728
-41.1,2,7.902421
-10.0,1,7.909286
-10.0,1,7.914451
-10.0,1,7.920436
-35.7,1,7.925574
-10.0,2,7.932942
-41.1,1,7.938166
-10.0,1,7.943072
-25.5,2,7.950326
-25.5,2,7.95821
-43.2,1,7.963132
-10.0,1,7.96825
-10.0,1,7.973203
-42.6,1,7.978142
-10.0,1,7.983581
-10.0,1,7.988825
-30.9,1,7.993682
-10.0,1,7.999066
-10.0,4,8.011427
-10.0,2,8.020139
-45.3,1,8.025076
-10.0,2,8.032561
-10.0,3,8.042125
-10.0,1,8.048045
-42.0,1,8.053032
-40.2,1,8.057896
-34.8,2,8.065422
-93.3,1,8.070382
-10.0,1,8.075254
-10.0,1,8.08041
-10.0,1,8.085369
-10.0,1,8.090179
-10.0,2,8.097996
-45.3,1,8.102884
-44.4,1,8.107786
-10.0,1,8.113437
-49.2,1,8.118479
-31.5,1,8.123477
-68.1,1,8.128686
-10.0,1,8.133565
-10.0,1,8.138404
-10.0,1,8.143875
-10.0,1,8.149069
-30.3,2,8.156358
-10.0,1,8.16226
-10.0,1,8.167221
-45.3,1,8.172087
-10.0,1,8.177254
-10.0,1,8.182709
-10.0,2,8.190115
-10.0,1,8.195133
-10.0,1,8.200075
-10.0,1,8.205486
-69.3,2,8.213148
-10.0,1,8.218062
-43.2,1,8.223298
-10.0,4,8.2352
-28.5,2,8.242804
-10.0,3,8.252531
-44.7,1,8.257814
-10.0,3,8.267561
-66.9,3,8.277431
-43.2,1,8.282245
-10.0,1,8.287362
-64.8,1,8.292149
-44.4,1,8.296846
-48.6,1,8.302723
-10.0,1,8.308376
-10.0,1,8.313277
-72.0,3,8.322869
-45.3,1,8.327649
-29.7,1,8.332833
-10.0,1,8.337701
-48.9,1,8.342438
-30.9,1,8.347378
-10.0,2,8.354445
-10.0,1,8.359191
-10.0,1,8.364231
-10.0,2,8.371376
-56.7,1,8.3761
-10.0,4,8.388036
-45.3,1,8.392907
-10.0,1,8.398364
-51.3,1,8.403332
-62.1,2,8.410615
-25.2,3,8.420116
-31.5,1,8.424917
-30.9,1,8.430418
-44.4,1,8.435286
-10.0,3,8.444897
-31.2,4,8.456639
-10.0,1,8.461783
-10.0,1,8.466579
-68.1,1,8.471371
-10.0,2,8.478569
-10.0,1,8.483388
-51.3,1,8.488162
-10.0,2,8.495547
-10.0,2,8.502747
-49.5,2,8.510054
-47.7,1,8.514897
-48.6,1,8.51971
-48.6,1,8.524817
