#{"t_start": 1786828163.5632281, "env_id": "None"}
r,l,t
-47.4,1,12.812801
-10.0,2,12.828832
-46.5,2,12.843009
-28.5,2,12.849393
-61.2,2,12.860101
-70.8,1,12.872012
-85.8,5,12.891237
-10.0,3,12.90541
-35.7,1,12.910565
-10.0,1,12.922251
-47.4,1,12.939779
-29.4,2,12.949874
-10.0,1,12.955085
-10.0,3,12.987312
-28.8,1,12.994418
-10.0,4,13.021781
-10.0,2,13.039656
-40.2,1,13.059713
-10.0,1,13.067937
-10.0,1,13.087237
-10.0,3,13.100216
-43.8,3,13.138811
-72.3,2,13.15619
-10.0,1,13.163161
-54.0,1,13.169758
-43.5,1,13.185323
-10.0,1,13.204133
-42.0,2,13.213626
-10.0,1,13.220135
-10.0,6,13.273711
-10.0,1,13.280259
-10.0,1,13.286431
-10.0,1,13.298368
-10.0,1,13.311811
-10.0,1,13.317299
-10.0,1,13.322364
-10.0,6,13.35222
-10.0,2,13.37018
-42.9,2,13.386348
-68.4,5,13.405408
-10.0,2,13.416915
-41.4,5,13.442802
-10.0,1,13.449902
-41.1,4,13.46968
-10.0,2,13.485316
-10.0,2,13.500436
-10.0,1,13.506645
-41.7,6,13.548788
-45.3,1,13.552542
-42.3,1,13.563803
-10.0,1,13.575145
-45.6,7,13.596295
-41.1,4,13.608893
-10.0,4,13.633388
-34.5,3,13.652216
-10.0,1,13.6572
-10.0,1,13.66758
-10.0,1,13.678658
-10.0,1,13.684434
-42.6,2,13.697198
-69.6,1,13.700634
-43.2,8,13.740058
-10.0,2,13.745799
-33.6,1,13.754134
-49.2,1,13.75968
-31.5,1,13.772342
-67.8,2,13.786386
-31.5,1,13.791602
-10.0,2,13.79957
-42.3,1,18.786824
-53.4,2,18.791297
-10.0,1,18.7941
-54.0,1,18.800338
-10.0,1,18.808429
-10.0,2,18.811667
-48.9,3,18.819839
-42.9,2,18.827088
-10.0,1,18.833262
-10.0,1,18.836675
-10.0,1,18.840186
-56.7,1,18.848026
-10.0,2,18.86065
-10.0,1,18.864066
-10.0,3,18.874726
-10.0,10,18.898672
-28.2,3,18.907919
-10.0,5,18.926801
-42.9,7,18.939608
-10.0,5,18.953793
-10.0,1,18.962361
-42.6,3,18.971051
-10.0,1,18.974459
-10.0,2,18.979909
-44.4,1,18.993491
-10.0,2,18.997373
-10.0,2,19.004207
-40.8,2,19.008791
-10.0,1,19.018556
-10.0,4,19.03097
-28.2,6,19.049141
-10.0,1,19.051528
-48.0,4,19.0685
-30.9,1,19.072044
-10.0,1,19.081521
-35.7,1,19.084085
-38.1,4,19.101617
-46.5,2,19.106484
-10.0,2,19.118362
-69.3,2,19.123769
-45.3,1,19.136569
-10.0,2,19.141423
-10.0,1,19.146799
-60.6,7,19.169184
-25.8,1,19.178013
-31.2,2,19.185663
-30.6,2,19.189621
-44.4,1,19.195771
-47.7,4,19.214589
-10.0,9,19.238024
-10.0,4,19.251052
-46.2,3,19.260184
-10.0,3,19.271913
-23.1,10,19.301906
-38.1,1,19.306427
-10.0,2,19.315153
-10.0,1,19.324381
-10.0,2,19.329988
-48.3,6,19.353084
-10.0,8,19.378046
-48.3,2,19.390541
-10.0,2,19.400074
